country_code,country_name,parent_handle,parent_title,option_names,variant_label,variant_sku,retail_price,compare_at_price,catalog_handle
ES,España,cadena-veneciana-hombre,Cadena Veneciana Hombre,Medida,4mm/65cm,42695,60.0,80.0,cadena-veneciana-hombre--4mm-65cm
ES,España,cadena-veneciana-hombre,Cadena Veneciana Hombre,Medida,6mm/65cm,42700,70.0,95.0,cadena-veneciana-hombre--6mm-65cm
ES,España,dije-virgen-piedras,Dije Virgen Piedras,Color,COLORES,23146,49.0,65.0,dije-virgen-piedras--colores
ES,España,dije-virgen-piedras,Dije Virgen Piedras,Color,CRISTAL,23147,49.0,65.0,dije-virgen-piedras--cristal
ES,España,dije-virgen-piedras,Dije Virgen Piedras,Color,VERDE,23148,49.0,65.0,dije-virgen-piedras--verde
ES,España,pulsera-cartier-hombre,Pulsera 3x1 Hombre,Medida,4mm/65cm,52498,40.0,55.0,pulsera-cartier-hombre--4mm-65cm
ES,España,pulsera-cartier-hombre,Pulsera 3x1 Hombre,Medida,6mm/65cm,52500,49.0,65.0,pulsera-cartier-hombre--6mm-65cm
ES,España,pulsera-chinesca-hombre,Pulsera Chinesca Hombre,Grosor,4mm/20cm,54883,45.0,65.0,pulsera-chinesca-hombre--4mm-20cm
ES,España,pulsera-chinesca-hombre,Pulsera Chinesca Hombre,Grosor,6mm/20cm,54888,56.5,75.0,pulsera-chinesca-hombre--6mm-20cm
ES,España,pulsera-chinesca-hombre,Pulsera Chinesca Hombre,Grosor,8mm/20cm,54890,60.0,85.0,pulsera-chinesca-hombre--8mm-20cm
ES,España,pulsera-cubana-hombre,Pulsera Cubana Hombre,Grosor,4mm/20cm,52390,45.0,65.0,pulsera-cubana-hombre--4mm-20cm
ES,España,pulsera-cubana-hombre,Pulsera Cubana Hombre,Grosor,6mm/20cm,52395,49.0,72.0,pulsera-cubana-hombre--6mm-20cm
ES,España,pulsera-cubana-hombre,Pulsera Cubana Hombre,Grosor,8mm/20cm,52397,60.0,85.0,pulsera-cubana-hombre--8mm-20cm
ES,España,pulsera-grabada-hombre,Pulsera Grabada Hombre,Medida,4mm/20cm,51189,45.0,65.0,pulsera-grabada-hombre--4mm-20cm
ES,España,pulsera-grabada-hombre,Pulsera Grabada Hombre,Medida,6mm/20cm,51200,49.0,72.0,pulsera-grabada-hombre--6mm-20cm
ES,España,pulsera-grabada-hombre,Pulsera Grabada Hombre,Medida,8mm/20cm,51220,60.0,85.0,pulsera-grabada-hombre--8mm-20cm
ES,España,pulsera-granocafe-hombre,Pulsera Grano de Café Hombre,Grosor,6mm/20cm,52900,50.0,69.0,pulsera-granocafe-hombre--6mm-20cm
ES,España,pulsera-granocafe-hombre,Pulsera Grano de Café Hombre,Grosor,7mm/20cm,52925,55.0,75.0,pulsera-granocafe-hombre--7mm-20cm
ES,España,pulsera-lazo-hombre,Pulsera Lazo Hombre,Medida,4mm/20cm,52793,45.0,65.0,pulsera-lazo-hombre--4mm-20cm
ES,España,pulsera-lazo-hombre,Pulsera Lazo Hombre,Medida,6mm/20cm,52800,49.0,72.0,pulsera-lazo-hombre--6mm-20cm
ES,España,pulsera-lazo-hombre,Pulsera Lazo Hombre,Medida,8mm/20cm,52830,60.0,85.0,pulsera-lazo-hombre--8mm-20cm
ES,España,pulsera-militar-hombre,Pulsera Militar Hombre,Medida,3mm/20cm,53100,40.0,60.0,pulsera-militar-hombre--3mm-20cm
ES,España,pulsera-militar-hombre,Pulsera Militar Hombre,Medida,4mm/20cm,53117,45.0,65.0,pulsera-militar-hombre--4mm-20cm
ES,España,pulsera-rustica-hombre,Pulsera Rustica Hombre,Medida,4mm/20cm,52598,45.0,60.0,pulsera-rustica-hombre--4mm-20cm
ES,España,pulsera-rustica-hombre,Pulsera Rustica Hombre,Medida,6mm/20cm,52600,50.0,70.0,pulsera-rustica-hombre--6mm-20cm
ES,España,pulsera-serpiente-hombre,Pulsera Serpiente Hombre,Medida,4mm/20cm,52287,45.0,65.0,pulsera-serpiente-hombre--4mm-20cm
ES,España,pulsera-serpiente-hombre,Pulsera Serpiente Hombre,Medida,6mm/20cm,52300,49.0,72.0,pulsera-serpiente-hombre--6mm-20cm
ES,España,pulsera-serpiente-hombre,Pulsera Serpiente Hombre,Medida,8mm/20cm,52320,60.0,85.0,pulsera-serpiente-hombre--8mm-20cm
ES,España,pulsera-veneciana-hombre,Pulsera Veneciana Hombre,Medida,3mm/20cm,52693,40.0,60.0,pulsera-veneciana-hombre--3mm-20cm
ES,España,pulsera-veneciana-hombre,Pulsera Veneciana Hombre,Medida,4mm/20cm,52695,45.0,65.0,pulsera-veneciana-hombre--4mm-20cm
ES,España,pulsera-veneciana-hombre,Pulsera Veneciana Hombre,Medida,6mm/20cm,52700,49.0,75.0,pulsera-veneciana-hombre--6mm-20cm
