pais,codigo,titulo_tienda,sku_tienda,handle,precio_retail_tienda,motivo,sugerencia_excel_nombre,sugerencia_excel_sku,sugerencia_parecido,sugerencia_mayorista_excel
ECUADOR,EC,Pulsera Van Cleef,(vacío),pulsera-van-cleef,59.0,sin_sku,P. GRABADA   4mm  20cm,51189,0.17,18.599999999999998
ECUADOR,EC,Topito Balín Diamantado 8mm,71002,copia-de-candonga-lisa-pequena,21.0,sku_no_en_excel,C. GRABADA 8mm  65cm,41220,0.14,46.89999999999999
ECUADOR,EC,Topo Ala,71170,topo-ala,21.0,sku_no_en_excel,,,,
ECUADOR,EC,Topo Chispa,(vacío),topo-chispa,19.0,sin_sku,,,,
ECUADOR,EC,Topo Elefantes,34082,topo-elefantes,24.0,sku_no_en_excel,,,,
ECUADOR,EC,Topo Oso Circonias,33003,topo-oso-circonias,24.0,sku_no_en_excel,D. CRUZ CIRCONIAS,25481,0.2,31.8
ECUADOR,EC,Topos Balín,33032 - 33034 - 34011 -34012,copia-de-candonga-bambu,49.0,sku_compuesto,,,,
ESPANA,ES,Cadena China 45 cm,43888,cadena-china-45-cm,84.0,sku_no_en_excel,C. CHINA PLANA 6mm 65cm,43900,0.29,50.64
ESPANA,ES,Cadena China Hombre 3mm,43888,cadena-china,65.0,sku_no_en_excel,C. CUBANA 3mm  45cm,42386,0.33,25.4
ESPANA,ES,Cadena Cubana Mujer,42389,cadena-cubana-mujer,45.0,sku_no_en_excel,C. CUBANA 3mm  45cm,42386,0.4,25.4
ESPANA,ES,Cadena Engranaje Hombre,45159,cadena-engranaje-hombre,80.0,sku_no_en_excel,C. GRABADA 4mm  65cm,41189,0.17,28.200000000000003
ESPANA,ES,Cadena Militar Hombre,(vacío),cadena-militar-65cm,65.0,sin_sku,C. MILITAR 3mm  65cm,43100,0.4,27.5142857142857
ESPANA,ES,Colgante Rostro,24552,34008,44.0,sku_no_en_excel,D. ROSTRO GRANDE,24557,0.25,28.800000000000004
ESPANA,ES,Dije Caballo,20551,dije-caballo,34.0,sku_no_en_excel,D. HERRADURA CABALLO,26947,0.67,27.6
ESPANA,ES,Dije Corona,248541,dije-corona,34.0,sku_no_en_excel,D. LEON,26787,0.33,36.6
ESPANA,ES,Dije Cristo Madero Mediano,23295,dije-cristo-madero,34.0,sku_no_en_excel,D. MADERO NUEVO,25444,0.4,30.8
ESPANA,ES,Dije Cruz Mediana Circonias,23000,dije-cruz-mediana-circonias,39.0,sku_no_en_excel,D. CRUZ CIRCONIAS,25481,0.75,31.8
ESPANA,ES,Dije Cruz Sagrada,23035,24441,59.0,sku_no_en_excel,D. CRUZ PIEDRAS,25221,0.5,35.8
ESPANA,ES,Dije Cruz San Benito,23258,dije-cruz-san-benito-1,49.0,sku_no_en_excel,D. CRUZ PIEDRAS,25221,0.4,35.8
ESPANA,ES,Dije Cruz Toreto,23056,dije-cruz-toreto,49.0,sku_no_en_excel,D. CRUZ PIEDRAS,25221,0.5,35.8
ESPANA,ES,Dije Dalí,23055,7,45.0,sku_no_en_excel,D. LEON,26787,0.33,36.6
ESPANA,ES,Dije Guadalupe Tallada,24550,24853,35.0,sku_no_en_excel,D. VIRGEN TALLADA,26062,0.5,24.4
ESPANA,ES,Dije Madero Grande,23294,dije-madero-grande,40.0,sku_no_en_excel,D. ROSTRO GRANDE,24557,0.5,28.800000000000004
ESPANA,ES,Dije Milagroso Mediana,23369,dije-1,45.0,sku_no_en_excel,D. LEON,26787,0.25,36.6
ESPANA,ES,Dije Salmo,23481,dije-salmo,34.0,sku_no_en_excel,D. LEON,26787,0.33,36.6
ESPANA,ES,Dije Virgen Piedras,23148,dije-virgen-piedras,49.0,sku_no_en_excel,D. VIRGEN PIEDRAS,26085,1.0,31.700000000000003
ESPANA,ES,Dije Árbol de la Vida,24853,23267,35.0,sku_no_en_excel,D. LEON,26787,0.25,36.6
ESPANA,ES,Entorchada Mediana,34596,33452,47.0,sku_no_en_excel,,,,
ESPANA,ES,Pulsera 3x1 Mujer,(vacío),pulsera-cartier-mujer,37.7,sin_sku,P. GRABADA   4mm  20cm,51189,0.17,18.599999999999998
ESPANA,ES,Pulsera Chinesca Mujer,(vacío),pulsera-chinesca-mujer,45.2,sin_sku,P. CHINESCA 3mm  18cm,54798,0.4,14.700000000000003
ESPANA,ES,Pulsera Cubana Mujer,(vacío),pulsera-cubana-mujer,37.7,sin_sku,P. CUBANA 3mm  18cm,52387,0.4,22.1
ESPANA,ES,Pulsera Egipcia Mujer,(vacío),pulsera-egipcia-mujer,45.2,sin_sku,P. EGIPCIA 3mm  18cm,53488,0.4,16.7
